"","name","System","Implementing agency","Unit type","total","visit_year","Season"
"1","Afton State Park","Department of Natural Resources State Park","DNR","State Park",26982,"2018","Fall"
"2","Afton State Park","Department of Natural Resources State Park","DNR","State Park",23996,"2019","Fall"
"3","Afton State Park","Department of Natural Resources State Park","DNR","State Park",45281,"2020","Fall"
"4","Afton State Park","Department of Natural Resources State Park","DNR","State Park",24457,"2021","Fall"
"5","Afton State Park","Department of Natural Resources State Park","DNR","State Park",25862,"2018","Spring"
"6","Afton State Park","Department of Natural Resources State Park","DNR","State Park",21643,"2019","Spring"
"7","Afton State Park","Department of Natural Resources State Park","DNR","State Park",61812,"2020","Spring"
"8","Afton State Park","Department of Natural Resources State Park","DNR","State Park",38993,"2021","Spring"
"9","Afton State Park","Department of Natural Resources State Park","DNR","State Park",56588,"2018","Summer"
"10","Afton State Park","Department of Natural Resources State Park","DNR","State Park",43484,"2019","Summer"
"11","Afton State Park","Department of Natural Resources State Park","DNR","State Park",80682,"2020","Summer"
"12","Afton State Park","Department of Natural Resources State Park","DNR","State Park",47544,"2021","Summer"
"13","Afton State Park","Department of Natural Resources State Park","DNR","State Park",11239,"2018","Winter"
"14","Afton State Park","Department of Natural Resources State Park","DNR","State Park",8516,"2019","Winter"
"15","Afton State Park","Department of Natural Resources State Park","DNR","State Park",8763,"2020","Winter"
"16","Afton State Park","Department of Natural Resources State Park","DNR","State Park",20400,"2021","Winter"
"17","Afton State Park","Department of Natural Resources State Park","DNR","State Park",1436,"2022","Winter"
"18","Banning State Park","Department of Natural Resources State Park","DNR","State Park",32100,"2018","Fall"
"19","Banning State Park","Department of Natural Resources State Park","DNR","State Park",15661,"2019","Fall"
"20","Banning State Park","Department of Natural Resources State Park","DNR","State Park",33284,"2020","Fall"
"21","Banning State Park","Department of Natural Resources State Park","DNR","State Park",19050,"2021","Fall"
"22","Banning State Park","Department of Natural Resources State Park","DNR","State Park",21967,"2018","Spring"
"23","Banning State Park","Department of Natural Resources State Park","DNR","State Park",14985,"2019","Spring"
"24","Banning State Park","Department of Natural Resources State Park","DNR","State Park",37926,"2020","Spring"
"25","Banning State Park","Department of Natural Resources State Park","DNR","State Park",22637,"2021","Spring"
"26","Banning State Park","Department of Natural Resources State Park","DNR","State Park",50349,"2018","Summer"
"27","Banning State Park","Department of Natural Resources State Park","DNR","State Park",29135,"2019","Summer"
"28","Banning State Park","Department of Natural Resources State Park","DNR","State Park",70279,"2020","Summer"
"29","Banning State Park","Department of Natural Resources State Park","DNR","State Park",30943,"2021","Summer"
"30","Banning State Park","Department of Natural Resources State Park","DNR","State Park",7392,"2018","Winter"
"31","Banning State Park","Department of Natural Resources State Park","DNR","State Park",4710,"2019","Winter"
"32","Banning State Park","Department of Natural Resources State Park","DNR","State Park",4343,"2020","Winter"
"33","Banning State Park","Department of Natural Resources State Park","DNR","State Park",10957,"2021","Winter"
"34","Banning State Park","Department of Natural Resources State Park","DNR","State Park",1089,"2022","Winter"
"35","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",13122,"2018","Fall"
"36","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",12245,"2019","Fall"
"37","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",14382,"2020","Fall"
"38","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",10052,"2021","Fall"
"39","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",11010,"2018","Spring"
"40","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",9790,"2019","Spring"
"41","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",2987,"2020","Spring"
"42","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",12570,"2021","Spring"
"43","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",50244,"2018","Summer"
"44","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",43516,"2019","Summer"
"45","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",33598,"2020","Summer"
"46","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",32345,"2021","Summer"
"47","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",5170,"2018","Winter"
"48","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",4180,"2019","Winter"
"49","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",6244,"2020","Winter"
"50","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",4219,"2021","Winter"
"51","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",280,"2022","Winter"
"52","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1456,"2018","Fall"
"53","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1536,"2019","Fall"
"54","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1989,"2020","Fall"
"55","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1100,"2021","Fall"
"56","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1516,"2018","Spring"
"57","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",2556,"2019","Spring"
"58","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1362,"2020","Spring"
"59","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1411,"2021","Spring"
"60","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",3783,"2018","Summer"
"61","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",4470,"2019","Summer"
"62","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",2989,"2020","Summer"
"63","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1217,"2021","Summer"
"64","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1108,"2018","Winter"
"65","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1459,"2019","Winter"
"66","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",810,"2020","Winter"
"67","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",384,"2021","Winter"
"68","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",97,"2022","Winter"
"69","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",4568,"2018","Fall"
"70","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",4527,"2019","Fall"
"71","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",4496,"2020","Fall"
"72","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",7904,"2021","Fall"
"73","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",5078,"2018","Spring"
"74","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",3622,"2019","Spring"
"75","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",3423,"2020","Spring"
"76","Big Stone Lake State Park","Department of Natural Resources State Park","DNR","State Park",6127,"2021","Spring"
