"Park name","System","Unit type","Core park","Week start","Weekly vehicle visits","Data source"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2017-11-27,1701,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2017-12-04,1449,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2017-12-11,602,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2017-12-18,1085,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2017-12-25,238,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-01-01,805,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-01-08,343,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-01-15,1148,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-01-22,574,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-01-29,763,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-02-05,1071,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-02-12,959,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-02-19,1386,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-02-26,203,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-03-05,693,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-03-12,2268,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-03-19,889,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-03-26,595,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-04-02,406,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-04-09,917,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-04-16,2338,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-04-23,4466,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-04-30,2842,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-05-07,3724,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-05-14,2674,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-05-21,3934,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-05-28,4214,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-06-04,3766,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-06-11,3843,"Weekly StreetLight"
"Afton","Department of Natural Resources State Park","State Park",TRUE,2018-06-18,3997,"Weekly StreetLight"
