"Park name","System","Implementing agency","Unit type","Core park","Week start","Weekly vehicle visits","Data source"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2017-11-27,140,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2017-12-04,140,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2017-12-11,105,"Biweekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2017-12-18,217,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2017-12-25,182,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-01-01,182,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-01-08,182,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-01-15,161,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-01-22,161,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-01-29,140,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-02-05,154,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-02-12,175,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-02-19,105,"Biweekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-02-26,210,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-03-05,245,"Biweekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-03-12,490,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-03-19,84,"Biweekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-03-26,161,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-04-02,252,"Imputed"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-04-09,175,"Biweekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-04-16,350,"Weekly StreetLight"
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,2018-04-23,875,"Weekly StreetLight"
