"Park name","System","Unit type","Core park","Week start","Weekly vehicle visits","Data source"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2017-11-27,399,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2017-12-04,301,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2017-12-11,203,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2017-12-18,203,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2017-12-25,301,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-01-01,98,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-01-08,98,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-01-15,581,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-01-22,385,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-01-29,378,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-02-05,91,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-02-12,728,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-02-19,637,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-02-26,364,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-03-05,343,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-03-12,602,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-03-19,427,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-03-26,504,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-04-02,420,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-04-09,749,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-04-16,749,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-04-23,3430,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-04-30,3381,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-05-07,1953,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-05-14,3913,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-05-21,4053,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-05-28,2282,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-06-04,2933,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-06-11,2933,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-06-18,3577,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-06-25,2492,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-07-02,4312,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-07-09,2737,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-07-16,3696,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-07-23,3353,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-07-30,2520,"Weekly StreetLight"
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Regional Park",TRUE,2018-08-06,2646,"Weekly StreetLight"
