"Park name","Park system","Implementing agency","Unit type","Core park"
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE
"Banning","Department of Natural Resources State Park","DNR","State Park",TRUE
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE
"Beaver Creek Valley","Department of Natural Resources State Park","DNR","State Park",TRUE
"Big Bog","Department of Natural Resources State Park","DNR","State Recreation Area",TRUE
"Big Stone Lake","Department of Natural Resources State Park","DNR","State Park",TRUE
"Blue Mounds","Department of Natural Resources State Park","DNR","State Park",TRUE
"Buffalo River","Department of Natural Resources State Park","DNR","State Park",TRUE
"Camden","Department of Natural Resources State Park","DNR","State Park",TRUE
"Caribou Falls","Department of Natural Resources State Park","DNR","State Wayside",TRUE
"Carley","Department of Natural Resources State Park","DNR","State Park",TRUE
"Cascade River","Department of Natural Resources State Park","DNR","State Park",TRUE
"Charles A Lindbergh","Department of Natural Resources State Park","DNR","State Park",TRUE
"Crow Wing","Department of Natural Resources State Park","DNR","State Park",TRUE
"Cuyuna Country","Department of Natural Resources State Park","DNR","State Recreation Area",TRUE
"Devils Track Falls","Department of Natural Resources State Park","DNR","State Wayside",TRUE
"Father Hennepin","Department of Natural Resources State Park","DNR","State Park",TRUE
"Flandrau","Department of Natural Resources State Park","DNR","State Park",TRUE
"Flood Bay","Department of Natural Resources State Park","DNR","State Wayside",TRUE
"Forestville/Mystery Cave","Department of Natural Resources State Park","DNR","State Park",TRUE
"Fort Ridgely","Department of Natural Resources State Park","DNR","State Park",TRUE
"Fort Snelling","Department of Natural Resources State Park","DNR","State Park",TRUE
"Franz Jevne","Department of Natural Resources State Park","DNR","State Park",TRUE
"Frontenac","Department of Natural Resources State Park","DNR","State Park",TRUE
"George H Crosby-Manitou","Department of Natural Resources State Park","DNR","State Park",TRUE
"Glacial Lakes","Department of Natural Resources State Park","DNR","State Park",TRUE
"Glendalough","Department of Natural Resources State Park","DNR","State Park",TRUE
"Gooseberry Falls","Department of Natural Resources State Park","DNR","State Park",TRUE
"Grand Portage","Department of Natural Resources State Park","DNR","State Park",TRUE
"Great River Bluffs","Department of Natural Resources State Park","DNR","State Park",TRUE
"Greenleaf Lake","Department of Natural Resources State Park","DNR","State Recreation Area",TRUE
"Hayes Lake","Department of Natural Resources State Park","DNR","State Park",TRUE
