"Park name","System","Implementing agency","Unit type","Core park","Week start","Weekly vehicle visits","Data source"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2017-11-27,826,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2017-12-04,980,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2017-12-11,903,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2017-12-18,980,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2017-12-25,1148,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-01-01,1176,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-01-08,588,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-01-15,735,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-01-22,735,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-01-29,938,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-02-05,1071,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-02-12,1358,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-02-19,1281,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-02-26,931,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-03-05,1078,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-03-12,1008,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-03-19,938,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-03-26,357,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-04-02,1071,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-04-09,1834,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-04-16,994,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-04-23,1834,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-04-30,1169,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-05-07,1253,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-05-14,2506,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-05-21,2450,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-05-28,1743,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-06-04,1785,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-06-11,2898,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-06-18,2009,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-06-25,1610,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-07-02,3241,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-07-09,2198,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-07-16,2303,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-07-23,3402,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-07-30,2653,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-08-06,2968,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-08-13,2345,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-08-20,2604,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-08-27,2338,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-09-03,2051,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-09-10,1638,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-09-17,1435,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-09-24,819,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-10-01,1673,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-10-08,1232,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-10-15,1232,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-10-22,1078,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-10-29,1057,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-11-05,945,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-11-12,896,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-11-19,847,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-11-26,896,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-12-03,707,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-12-10,994,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-12-17,1085,"Weekly StreetLight"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,2018-12-24,854,"Weekly StreetLight"
