"Park name","System","Implementing agency","Unit type","Core park","Season","Vehicle visits"
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Fall-2018",15250
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Fall-2019",9384
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Fall-2020",7011
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Fall-2021",8597
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Spring-2018",17024
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Spring-2019",12147
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Spring-2020",8772
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Spring-2021",11150
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Summer-2018",34390
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Summer-2019",28356
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Summer-2020",16888
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Summer-2021",25192
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Winter-2018",12646
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Winter-2019",10061
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Winter-2020",5922
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Winter-2021",4885
"Above the Falls","Metropolitan Regional Park System","Minneapolis Park and Recreation Board","Regional Park",TRUE,"Winter-2022",1826
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2018",26982
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2019",23996
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2020",45281
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2021",24457
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2018",25862
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2019",21643
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2020",61812
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2021",38993
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2018",56588
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2019",43484
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2020",80682
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2021",47544
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2018",11239
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2019",8516
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2020",8763
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2021",20400
"Afton","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2022",1436
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Fall-2018",15138
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Fall-2019",17143
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Fall-2020",25815
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Fall-2021",27390
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Spring-2018",20732
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Spring-2019",22703
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Spring-2020",28764
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Spring-2021",36864
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Summer-2018",43739
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Summer-2019",47637
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Summer-2020",71346
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Summer-2021",54119
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Winter-2018",4331
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Winter-2019",5108
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Winter-2020",5288
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Winter-2021",10758
"Alexander Ramsey Park","Greater Minnesota Regional Parks & Trails","Greater MN","Regional Park",TRUE,"Winter-2022",1856
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Fall-2018",5414
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Fall-2019",7273
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Fall-2020",10587
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Fall-2021",7544
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Spring-2018",3782
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Spring-2019",6432
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Spring-2020",9953
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Spring-2021",11404
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Summer-2018",13523
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Summer-2019",17285
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Summer-2020",19308
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Summer-2021",14924
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Winter-2018",1693
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Winter-2019",2190
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Winter-2020",2958
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Winter-2021",5399
"Anoka Co Riverfront","Metropolitan Regional Park System","Anoka County Parks and Recreation","Regional Park",TRUE,"Winter-2022",303
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Fall-2018",6351
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Fall-2019",5111
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Fall-2020",8127
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Fall-2021",5064
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Spring-2018",4033
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Spring-2019",4150
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Spring-2020",14399
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Spring-2021",11084
"Appleton OHV Park","Eligible for Greater Minnesota Designation","Eligible Greater MN","Eligible Regional Park",FALSE,"Summer-2018",9373
