"park_name","Winter*Year interaction","Was Winter 2020 involved?","Spring*Year interaction","Was Spring 2020 involved?","Summer*Year interaction","Was Summer 2020 involved?","Fall*Year interaction","Was Fall 2020 involved?"
"Above the Falls","None","No","**","Yes","***","Yes","***","Yes"
"Afton","None","No","***","Yes","***","Yes","*","Yes"
"Alexander Ramsey Park","None","No","None","No","***","Yes","None","No"
"Anoka Co Riverfront","None","No","***","Yes","**","Yes","**","Yes"
"Baker","None","No","*","Yes","***","Yes","None","No"
"Bald Eagle-Otter Lake","None","No","**","Yes","**","Yes","None","No"
"Banning","None","No","**","Yes","***","Yes","None","No"
"Barsness Park","None","No","***","Yes","***","Yes","***","Yes"
"Battle Creek","None","No","*","Yes","None","No","None","No"
"Beaver Creek Valley","None","No","None","No","***","Yes","None","No"
"Bend in the River Park (GRPC)","None","No","**","No","**","Yes","**","No"
"Bertram Chain of Lakes","None","No","*","No","***","Yes","None","No"
"Big Elk Lake County park","None","No","***","Yes","***","Yes","**","Yes"
"Blue Mounds","None","No","None","No","*","No","None","No"
"Bluffs Traverse","None","No","***","Yes","***","No","**","Yes"
"Bryant Lake","None","No","None","No","None","No","**","Yes"
"Buffalo River","None","No","None","No","***","Yes","None","No"
"Bunker Hills","None","No","***","Yes","***","Yes","***","Yes"
"Carver","None","No","***","Yes","***","Yes","***","Yes"
"Cascade Lake Park","None","No","***","Yes","***","Yes","***","Yes"
"Cascade River","None","No","*","Yes","None","No","None","No"
"Central Mississippi Riverfront","None","No","None","No","***","Yes","None","No"
"Cleary Lake","None","No","***","Yes","***","Yes","***","Yes"
"Clifton E French","None","No","***","Yes","***","Yes","*","Yes"
"Cohasset Tioga Recreation Area","None","No","None","No","***","Yes","***","Yes"
"Como","None","No","None","No","*","Yes","None","No"
"Como Zoo and Conservatory","None","No","***","Yes","***","Yes","None","No"
"Coon Rapids Dam","None","No","***","Yes","***","Yes","None","No"
"Cottage Grove Ravine","None","No","***","Yes","***","Yes","***","Yes"
"Crow-Hassan","None","No","***","Yes","***","Yes","***","Yes"
"Crow Wing","None","No","**","Yes","*","No","None","No"
"Cuyuna Country","None","No","*","Yes","***","Yes","None","No"
"Detroit Mountain Recreational Area","None","No","None","No","None","No","None","No"
"Eagle Lake","None","No","**","Yes","None","No","*","No"
"Elk River Woodland Trails Park","None","No","***","Yes","***","Yes","None","No"
"Elm Creek","None","No","**","Yes","None","No","None","No"
"Fish Lake","None","No","**","Yes","None","No","**","Yes"
"Flandrau","None","No","None","No","***","Yes","None","No"
"Fort Snelling","None","No","***","Yes","***","Yes","***","Yes"
"Frazee park","None","No","**","Yes","**","Yes","*","No"
"Frontenac","None","No","***","Yes","***","Yes","None","No"
"Gateway to the North park","None","No","None","No","***","Yes","**","Yes"
"Gooseberry Falls","None","No","None","No","**","Yes","None","No"
"Granite Falls Memorial Park","None","No","**","Yes","***","Yes","None","No"
"Great River Bluffs","None","No","*","Yes","**","Yes","None","No"
"Hartley Park","None","No","**","Yes","***","Yes","***","Yes"
"He Mni Can - Barn Bluff","None","No","***","Yes","***","Yes","*","Yes"
"Hidden Falls-Crosby Farm","None","No","***","Yes","***","Yes","None","Yes"
"Hyland-Bush-Anderson Lakes (Bloomington Parks and Recreation)","None","No","*","Yes","***","Yes","None","No"
"Hyland-Bush-Anderson Lakes (Three Rivers Park District)","None","No","***","Yes","None","No","None","No"
"Indian Mounds","None","No","***","Yes","***","Yes","None","No"
"Inspiration Peak","None","No","***","Yes","None","No","None","No"
"Interstate","None","No","***","Yes","***","Yes","None","No"
"Islands of Peace","None","No","**","Yes","***","Yes","***","No"
"Itasca","None","No","None","No","**","Yes","None","No"
"Jay C Hormel Nature Center","None","No","None","No","***","Yes","***","Yes"
"Jay Cooke","None","No","*","Yes","***","Yes","None","No"
"Keller","None","No","*","Yes","***","Yes","None","No"
"Lac qui Parle","None","No","None","No","None","No","None","No"
"Lake Bemidji","None","No","None","No","**","No","None","No"
"Lake Byllesby Park","None","No","*","Yes","***","Yes","None","No"
