park_name,System,Implementing agency.x,Unit type,Core park.x,Season,Vehicle visits,season,year,vehicle_visits,yearly_total,park_system,Implementing agency.y,unit_type,Core park.y
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Fall-2018,15250,Fall,2018,15250,79310,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Fall-2019,9384,Fall,2019,9384,59948,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Fall-2020,7011,Fall,2020,7011,38593,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Fall-2021,8597,Fall,2021,8597,49824,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Spring-2018,17024,Spring,2018,17024,79310,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Spring-2019,12147,Spring,2019,12147,59948,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Spring-2020,8772,Spring,2020,8772,38593,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Spring-2021,11150,Spring,2021,11150,49824,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Summer-2018,34390,Summer,2018,34390,79310,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Summer-2019,28356,Summer,2019,28356,59948,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Summer-2020,16888,Summer,2020,16888,38593,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Summer-2021,25192,Summer,2021,25192,49824,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Winter-2018,12646,Winter,2018,12646,79310,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Winter-2019,10061,Winter,2019,10061,59948,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Winter-2020,5922,Winter,2020,5922,38593,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Winter-2021,4885,Winter,2021,4885,49824,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Above the Falls,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE,Winter-2022,1826,Winter,2022,1826,1826,Metropolitan Regional Park System,Minneapolis Park and Recreation Board,Regional Park,TRUE
Afton,Department of Natural Resources State Park,DNR,State Park,TRUE,Fall-2018,26982,Fall,2018,26982,120671,Department of Natural Resources State Park,DNR,State Park,TRUE
