name,County or Counties,Acres,Year,Water Body(s),lat,long,Remarks,Image,url,address,description,type,unpacked,county,num,labels,labels2,region,count,labels3
Afton State Park,Washington,1600,1969,St. Croix River,44.8624675,-92.7835367,Lies on a glacial moraine with deep ravines that drop 300 feet (91 m) down to the St. Croix River.[10],NA,https://stateparks.com/afton_state_park_in_minnesota.html,"6959 Peller Ave.South Hastings, Minnesota   55033","Grand oaks and delicate prairie flowers grace the rugged, rolling landscape of this park. Trails traverse remnant and restored prairies, wind down deep ravines and rise up to the grassy ridgetops and bluffs overlooking the scenic St. Croix River. The trails are perfect for hikers, horseback riders and cross-country skiers. The park offers visitors a swimming beach, backpack campsites and a visitor center with interpretive displays.",state park,Washington,Washington,3,Washington County: 3 state parks,Afton State Park,Metro,14,Metro Region: 14state parks
Banning State Park,Pine,5597,1963,Kettle River,46.1707812,-92.8440889,Contains 1.5 miles (2.4 km) of whitewater rapids and the remains of a historic quarry operation.[11],NA,https://stateparks.com/banning_state_park_in_minnesota.html,"61101 Banning Park RoadSandstone, Minnesota   55072","Treat yourself to a visit to Banning State Park, just minutes off I-35 near Sandstone. In the spring, watch daring canoeists and kayakers shoot the turbulent rapids at Blueberry Slide, Mother's Delight, Dragon's Tooth and Hell's Gate. In the summer, hike along the Kettle River amid dramatic sandstone rock formations with lush lichens, liverworts and mosses. Visit Wolf Creek Falls, the Log Creek Arches and Robinson's Ice Cave. Stay at the new camper cabin (sleeps five people), which includes bunk beds, a table and benches. Take in the historic ruins of Banning Sandstone Quarry. The park is known for camping, picnicking, cross-country skiing, beautiful trails for hiking and the study of natural history.",state park,Pine,Pine,2,Pine County: 2 state parks,Banning State Park,Arrowhead,23,Arrowhead Region: 23state parks
Bear Head Lake State Park,St. Louis,3013,1961,Bear Head Lake,47.7963051,-92.0768231,Provides road access and modern camping facilities in an environment similar to the nearby Boundary Waters Canoe Area Wilderness.[12],NA,https://stateparks.com/bear_head_lake_state_park_in_minnesota.html,"9301 Bear Head State Park RoadEly, Minnesota   55731","Secluded in the Northwoods, this park contains pristine lakes; it is home to black bears, nesting eagles, timber wolves and moose. Stands of white and red pine trees tower over the birch, aspen and fir trees. Located just south of the Boundary Waters Canoe Area, the park shares a similar wilderness quality. Explore miles of shoreline by canoe. Swim at the beach, picnic in the shelter building, or fish for walleye, bass, crappies or trout. Trails in the park link-up with the Taconite State Trail and offer snowmobilers, skiers and hikers plenty to enjoy. Rent a three-bedroom guest house any season of the year.",state park,St. Louis,St. Louis,5,St. Louis County: 5 state parks,Bear Head Lake State Park,Arrowhead,23,Arrowhead Region: 23state parks
Beaver Creek Valley State Park,Houston,715,1937,East Beaver Creek,43.6427458,-91.5818101,Showcases the rugged topography of the Driftless Area in a narrow valley carved by a trout stream.[13],NA,https://stateparks.com/beaver_creek_valley_state_park_in_minnesota.html,"15954 County 1Caledonia, Minnesota   55921","Nestled in the blufflands of southeastern Minnesota, Beaver Creek Valley State Park is known for its clear streams fed by the ""Big Spring."" Its streams are home to brown and native brook trout. In spring, wildflowers that blanket the woodland hills and valleys attract migratory songbirds like the rare Acadian flycatcher, Cerulean warbler, and Louisiana waterthrush. These birds nest in the park. A hiking trail meanders along the stream and up into a maple-basswood and oak forest. Campers are lulled to sleep by the murmuring stream.",state park,Houston,Houston,1,Houston County: 1 state park,Beaver Creek Valley State Park,Southern,43,Southern Region: 43state parks
Big Bog State Recreation Area,Beltrami,9170,2000,"Red Lake, Tamarac River",48.172761,-94.512033,Encompasses part of the largest peatland in the Lower 48 states (a National Natural Landmark) and a prime walleye fishery.[14],NA,NA,NA,NA,NA,Beltrami,Beltrami,2,Beltrami County: 2 state parks,Big Bog State Recreation Area,Heartland,37,Heartland Region: 37state parks
Big Stone Lake State Park,Big Stone,980,1961,Big Stone Lake,45.3824644,-96.51311480000001,"Protects two sections of shoreline on Big Stone Lake, the source of the Minnesota River.[15]",NA,https://stateparks.com/big_stone_lake_state_park_in_minnesota.html,"35889 Meadowbrook State Park RoadOrtonville, Minnesota   56278","Big Stone Lake is 30 miles long and is located on the South Dakota-Minnesota border. The lake is the source of the Minnesota River and attracts anglers who catch walleye, northerns and bluegills. The northern section of the park, called the Bonanza Area, provides a picnic area, boat launch and a primitive group camp for guests. The area also includes the Big Stone Lake Environmental Education Center which provides a place to discover the past and ways to preserve it. The southern section of the park, called the Meadowbrook Area, contains a campground, swimming beach and hiking trails.",state park,Big Stone,Big Stone,1,Big Stone County: 1 state park,Big Stone Lake State Park,Southern,43,Southern Region: 43state parks
Blue Mounds State Park,Rock,1567,1937,Mound Creek,43.7069134,-96.18697279999998,Protects an escarpment of Sioux Quartzite and Minnesota's only public bison herd.[16] A district of WPA structures is on the NRHP.[17],NA,https://stateparks.com/blue_mounds_state_park_in_minnesota.html,"1410 161st StreetLuverne, Minnesota   56156","Blue Mound State Park is on the tallest hill in southern Wisconsin, about 25 miles west of Madison. The 1,153-acre park is a popular place for swimming, hiking, camping, cross-country skiing and mountain biking (both double and single track) and finding peace and solitude.",state park,Rock,Rock,1,Rock County: 1 state park,Blue Mounds State Park,Southern,43,Southern Region: 43state parks
Buffalo River State Park,Clay,1068,1937,Buffalo River,46.8655165,-96.46784740000001,Preserves part of one of the state's largest and best tallgrass prairies.[18] A district of WPA structures is on the NRHP.[19],NA,https://stateparks.com/buffalo_river_state_park_in_minnesota.html,"565 155th Street SouthGlyndon, Minnesota   56547","Prairie lovers, this park is for you. Trails wind through one of Minnesota's finest and largest remnant prairies. Listen for bobolinks, prairie chickens, marbled godwits and upland sandpipers. A picnic area, swimming area and campground are located in the hardwood forest along the Buffalo River. The park is only 14 miles from the large metropolitan area of Fargo, North Dakota - Moorhead, Minnesota.",state park,Clay,Clay,1,Clay County: 1 state park,Buffalo River State Park,Heartland,37,Heartland Region: 37state parks
Camden State Park,Lyon,1855,1935,Redwood River,44.362462,-95.92502470000001,Preserves a forested river valley in the midst of prairie and farm country.[20] A district of VCC and WPA structures is on the NRHP.[21],NA,https://stateparks.com/camden_state_park_in_minnesota.html,"1897 Camden Park RoadLynd, Minnesota   56157","Camden State Park offers much for visitors to enjoy. Fish for brown trout in the Redwood River or bass and bluegill in Brawner Lake. Hike the trails or cool off in the spring-fed pool. Walk along the wooded river valley, climb the Dakota Valley Trail to the lookout for great fall colors, or go canoeing on Brawner Lake. Woodlands, maples, basswoods, oaks, and cottonwoods, dominate this park. Sun-drenched prairies, grasslands, and marshes offer added diversity. The park provides picnic areas, campgrounds (drive-in, horseback, and group), swimming, hiking, and cross-country skiing.",state park,Lyon,Lyon,1,Lyon County: 1 state park,Camden State Park,Southern,43,Southern Region: 43state parks
Carley State Park,Wabasha,209,1949,Whitewater River,44.1166318,-92.17600019999999,Donated by State Senator James A. Carley to protect a stand of white pines. Used as an overflow campground for nearby Whitewater State Park.[22],NA,https://stateparks.com/carley_state_park_in_minnesota.html,"19041 Hwy 74Altura, Minnesota   55910","Beauty and quiet, that is the essence of Carley State Park. In the spring, delicate bluebells (Mertensia virginica), and other wildflowers carpet the valley with a profusion of color. Hike along the trail that follows the Whitewater River and take in the grand old white pines. Listen for the sweet song of orioles, song sparrows, house wrens, and indigo buntings. Enjoy the picnic area, play on the swings or practice softball. Try your hand at horseshoes or sit back and see a red-tailed hawk ride thermals in the sky. The north branch of the Whitewater River is a designated trout stream and provides habitat for brown trout. Rustic campsites are located near the picnic area.",state park,Wabasha,Wabasha,1,Wabasha County: 1 state park,Carley State Park,Southern,43,Southern Region: 43state parks
