"","...1","name","Season","visit_year","total","Acres","Year","County or Counties","region"
"1",1,"Afton State Park","Fall",2018,26982,1600,1969,"Washington","Metro"
"2",2,"Afton State Park","Fall",2019,23996,1600,1969,"Washington","Metro"
"3",3,"Afton State Park","Fall",2020,45281,1600,1969,"Washington","Metro"
"4",4,"Afton State Park","Fall",2021,24457,1600,1969,"Washington","Metro"
"5",5,"Afton State Park","Spring",2018,25862,1600,1969,"Washington","Metro"
"6",6,"Afton State Park","Spring",2019,21643,1600,1969,"Washington","Metro"
"7",7,"Afton State Park","Spring",2020,61812,1600,1969,"Washington","Metro"
"8",8,"Afton State Park","Spring",2021,38993,1600,1969,"Washington","Metro"
"9",9,"Afton State Park","Summer",2018,56588,1600,1969,"Washington","Metro"
"10",10,"Afton State Park","Summer",2019,43484,1600,1969,"Washington","Metro"
"11",11,"Afton State Park","Summer",2020,80682,1600,1969,"Washington","Metro"
"12",12,"Afton State Park","Summer",2021,47544,1600,1969,"Washington","Metro"
"13",13,"Afton State Park","Winter",2018,11239,1600,1969,"Washington","Metro"
"14",14,"Afton State Park","Winter",2019,8516,1600,1969,"Washington","Metro"
"15",15,"Afton State Park","Winter",2020,8763,1600,1969,"Washington","Metro"
"16",16,"Afton State Park","Winter",2021,20400,1600,1969,"Washington","Metro"
"17",17,"Afton State Park","Winter",2022,1436,1600,1969,"Washington","Metro"
"18",18,"Banning State Park","Fall",2018,32100,5597,1963,"Pine","Arrowhead"
"19",19,"Banning State Park","Fall",2019,15661,5597,1963,"Pine","Arrowhead"
"20",20,"Banning State Park","Fall",2020,33284,5597,1963,"Pine","Arrowhead"
"21",21,"Banning State Park","Fall",2021,19050,5597,1963,"Pine","Arrowhead"
"22",22,"Banning State Park","Spring",2018,21967,5597,1963,"Pine","Arrowhead"
"23",23,"Banning State Park","Spring",2019,14985,5597,1963,"Pine","Arrowhead"
"24",24,"Banning State Park","Spring",2020,37926,5597,1963,"Pine","Arrowhead"
"25",25,"Banning State Park","Spring",2021,22637,5597,1963,"Pine","Arrowhead"
"26",26,"Banning State Park","Summer",2018,50349,5597,1963,"Pine","Arrowhead"
"27",27,"Banning State Park","Summer",2019,29135,5597,1963,"Pine","Arrowhead"
"28",28,"Banning State Park","Summer",2020,70279,5597,1963,"Pine","Arrowhead"
"29",29,"Banning State Park","Summer",2021,30943,5597,1963,"Pine","Arrowhead"
"30",30,"Banning State Park","Winter",2018,7392,5597,1963,"Pine","Arrowhead"
"31",31,"Banning State Park","Winter",2019,4710,5597,1963,"Pine","Arrowhead"
"32",32,"Banning State Park","Winter",2020,4343,5597,1963,"Pine","Arrowhead"
"33",33,"Banning State Park","Winter",2021,10957,5597,1963,"Pine","Arrowhead"
"34",34,"Banning State Park","Winter",2022,1089,5597,1963,"Pine","Arrowhead"
"35",35,"Bear Head Lake State Park","Fall",2018,13122,3013,1961,"St. Louis","Arrowhead"
"36",36,"Bear Head Lake State Park","Fall",2019,12245,3013,1961,"St. Louis","Arrowhead"
"37",37,"Bear Head Lake State Park","Fall",2020,14382,3013,1961,"St. Louis","Arrowhead"
"38",38,"Bear Head Lake State Park","Fall",2021,10052,3013,1961,"St. Louis","Arrowhead"
"39",39,"Bear Head Lake State Park","Spring",2018,11010,3013,1961,"St. Louis","Arrowhead"
