"","Season","name","System","Implementing agency","Unit type","total"
"1","Fall-2018","Afton State Park","Department of Natural Resources State Park","DNR","State Park",26982
"2","Fall-2019","Afton State Park","Department of Natural Resources State Park","DNR","State Park",23996
"3","Fall-2020","Afton State Park","Department of Natural Resources State Park","DNR","State Park",45281
"4","Fall-2021","Afton State Park","Department of Natural Resources State Park","DNR","State Park",24457
"5","Spring-2018","Afton State Park","Department of Natural Resources State Park","DNR","State Park",25862
"6","Spring-2019","Afton State Park","Department of Natural Resources State Park","DNR","State Park",21643
"7","Spring-2020","Afton State Park","Department of Natural Resources State Park","DNR","State Park",61812
"8","Spring-2021","Afton State Park","Department of Natural Resources State Park","DNR","State Park",38993
"9","Summer-2018","Afton State Park","Department of Natural Resources State Park","DNR","State Park",56588
"10","Summer-2019","Afton State Park","Department of Natural Resources State Park","DNR","State Park",43484
"11","Summer-2020","Afton State Park","Department of Natural Resources State Park","DNR","State Park",80682
"12","Summer-2021","Afton State Park","Department of Natural Resources State Park","DNR","State Park",47544
"13","Winter-2018","Afton State Park","Department of Natural Resources State Park","DNR","State Park",11239
"14","Winter-2019","Afton State Park","Department of Natural Resources State Park","DNR","State Park",8516
"15","Winter-2020","Afton State Park","Department of Natural Resources State Park","DNR","State Park",8763
"16","Winter-2021","Afton State Park","Department of Natural Resources State Park","DNR","State Park",20400
"17","Winter-2022","Afton State Park","Department of Natural Resources State Park","DNR","State Park",1436
"18","Fall-2018","Banning State Park","Department of Natural Resources State Park","DNR","State Park",32100
"19","Fall-2019","Banning State Park","Department of Natural Resources State Park","DNR","State Park",15661
"20","Fall-2020","Banning State Park","Department of Natural Resources State Park","DNR","State Park",33284
"21","Fall-2021","Banning State Park","Department of Natural Resources State Park","DNR","State Park",19050
"22","Spring-2018","Banning State Park","Department of Natural Resources State Park","DNR","State Park",21967
"23","Spring-2019","Banning State Park","Department of Natural Resources State Park","DNR","State Park",14985
"24","Spring-2020","Banning State Park","Department of Natural Resources State Park","DNR","State Park",37926
"25","Spring-2021","Banning State Park","Department of Natural Resources State Park","DNR","State Park",22637
"26","Summer-2018","Banning State Park","Department of Natural Resources State Park","DNR","State Park",50349
"27","Summer-2019","Banning State Park","Department of Natural Resources State Park","DNR","State Park",29135
"28","Summer-2020","Banning State Park","Department of Natural Resources State Park","DNR","State Park",70279
"29","Summer-2021","Banning State Park","Department of Natural Resources State Park","DNR","State Park",30943
"30","Winter-2018","Banning State Park","Department of Natural Resources State Park","DNR","State Park",7392
"31","Winter-2019","Banning State Park","Department of Natural Resources State Park","DNR","State Park",4710
"32","Winter-2020","Banning State Park","Department of Natural Resources State Park","DNR","State Park",4343
"33","Winter-2021","Banning State Park","Department of Natural Resources State Park","DNR","State Park",10957
"34","Winter-2022","Banning State Park","Department of Natural Resources State Park","DNR","State Park",1089
"35","Fall-2018","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",13122
"36","Fall-2019","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",12245
"37","Fall-2020","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",14382
"38","Fall-2021","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",10052
"39","Spring-2018","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",11010
"40","Spring-2019","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",9790
"41","Spring-2020","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",2987
"42","Spring-2021","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",12570
"43","Summer-2018","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",50244
"44","Summer-2019","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",43516
"45","Summer-2020","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",33598
"46","Summer-2021","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",32345
"47","Winter-2018","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",5170
"48","Winter-2019","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",4180
"49","Winter-2020","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",6244
"50","Winter-2021","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",4219
"51","Winter-2022","Bear Head Lake State Park","Department of Natural Resources State Park","DNR","State Park",280
"52","Fall-2018","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1456
"53","Fall-2019","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1536
"54","Fall-2020","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1989
"55","Fall-2021","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1100
"56","Spring-2018","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1516
"57","Spring-2019","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",2556
"58","Spring-2020","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1362
"59","Spring-2021","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",1411
"60","Summer-2018","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",3783
"61","Summer-2019","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",4470
"62","Summer-2020","Beaver Creek Valley State Park","Department of Natural Resources State Park","DNR","State Park",2989
