"","name","System","Implementing agency","Unit type","total"
"1","Afton","Department of Natural Resources State Park","DNR","State Park",547678
"2","Banning","Department of Natural Resources State Park","DNR","State Park",406807
"3","Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",265954
"4","Beaver Creek Valley","Department of Natural Resources State Park","DNR","State Park",29243
"5","Big Stone Lake","Department of Natural Resources State Park","DNR","State Park",94400
"6","Blue Mounds","Department of Natural Resources State Park","DNR","State Park",180616
"7","Buffalo River","Department of Natural Resources State Park","DNR","State Park",135925
"8","Camden","Department of Natural Resources State Park","DNR","State Park",155262
"9","Carley","Department of Natural Resources State Park","DNR","State Park",58968
"10","Cascade River","Department of Natural Resources State Park","DNR","State Park",362739
"11","Charles A Lindbergh","Department of Natural Resources State Park","DNR","State Park",68550
"12","Crow Wing","Department of Natural Resources State Park","DNR","State Park",118786
"13","Father Hennepin","Department of Natural Resources State Park","DNR","State Park",227909
"14","Flandrau","Department of Natural Resources State Park","DNR","State Park",199538
"15","Forestville/Mystery Cave","Department of Natural Resources State Park","DNR","State Park",117456
"16","Fort Ridgely","Department of Natural Resources State Park","DNR","State Park",69688
"17","Fort Snelling","Department of Natural Resources State Park","DNR","State Park",551893
"18","Franz Jevne","Department of Natural Resources State Park","DNR","State Park",22673
"19","Frontenac","Department of Natural Resources State Park","DNR","State Park",301856
"20","George H Crosby-Manitou","Department of Natural Resources State Park","DNR","State Park",55910
"21","Glacial Lakes","Department of Natural Resources State Park","DNR","State Park",104421
"22","Glendalough","Department of Natural Resources State Park","DNR","State Park",233080
"23","Gooseberry Falls","Department of Natural Resources State Park","DNR","State Park",1892412
"24","Grand Portage","Department of Natural Resources State Park","DNR","State Park",76394
"25","Great River Bluffs","Department of Natural Resources State Park","DNR","State Park",126360
"26","Hayes Lake","Department of Natural Resources State Park","DNR","State Park",39380
"27","Hill Annex Mine","Department of Natural Resources State Park","DNR","State Park",21967
"28","Interstate","Department of Natural Resources State Park","DNR","State Park",643143
"29","Itasca","Department of Natural Resources State Park","DNR","State Park",2481878
"30","Jay Cooke","Department of Natural Resources State Park","DNR","State Park",773559
"31","John A Latsch","Department of Natural Resources State Park","DNR","State Park",23615
"32","Judge C R Magney","Department of Natural Resources State Park","DNR","State Park",127314
"33","Kilen Woods","Department of Natural Resources State Park","DNR","State Park",33914
"34","Lac qui Parle","Department of Natural Resources State Park","DNR","State Park",88196
"35","Lake Bemidji","Department of Natural Resources State Park","DNR","State Park",406905
"36","Lake Bronson","Department of Natural Resources State Park","DNR","State Park",234335
"37","Lake Carlos","Department of Natural Resources State Park","DNR","State Park",344490
"38","Lake Louise","Department of Natural Resources State Park","DNR","State Park",58444
"39","Lake Maria","Department of Natural Resources State Park","DNR","State Park",167082
"40","Lake Shetek","Department of Natural Resources State Park","DNR","State Park",224156
"41","Lake Vermilion-Soudan Underground Mine","Department of Natural Resources State Park","DNR","State Park",470306
"42","Maplewood","Department of Natural Resources State Park","DNR","State Park",466886
"43","McCarthy Beach","Department of Natural Resources State Park","DNR","State Park",282975
"44","Mille Lacs Kathio","Department of Natural Resources State Park","DNR","State Park",363841
"45","Minneopa","Department of Natural Resources State Park","DNR","State Park",528809
"46","Monson Lake","Department of Natural Resources State Park","DNR","State Park",28799
"47","Moose Lake","Department of Natural Resources State Park","DNR","State Park",116926
"48","Myre-Big Island","Department of Natural Resources State Park","DNR","State Park",171222
"49","Nerstrand Big Woods","Department of Natural Resources State Park","DNR","State Park",280426
"50","Old Mill","Department of Natural Resources State Park","DNR","State Park",39183
"51","Rice Lake","Department of Natural Resources State Park","DNR","State Park",79718
"52","Sakatah Lake","Department of Natural Resources State Park","DNR","State Park",118819
"53","Savanna Portage","Department of Natural Resources State Park","DNR","State Park",161825
"54","Scenic","Department of Natural Resources State Park","DNR","State Park",237695
"55","Schoolcraft","Department of Natural Resources State Park","DNR","State Park",23154
"56","Sibley","Department of Natural Resources State Park","DNR","State Park",406612
"57","Split Rock Creek","Department of Natural Resources State Park","DNR","State Park",55631
"58","Split Rock Lighthouse","Department of Natural Resources State Park","DNR","State Park",408487
"59","St Croix","Department of Natural Resources State Park","DNR","State Park",527300
"60","Temperance River","Department of Natural Resources State Park","DNR","State Park",494594
"61","Tettegouche","Department of Natural Resources State Park","DNR","State Park",1693509
"62","Upper Sioux Agency","Department of Natural Resources State Park","DNR","State Park",63272
"63","Whitewater","Department of Natural Resources State Park","DNR","State Park",233385
"64","Wild River","Department of Natural Resources State Park","DNR","State Park",237832
"65","William O'Brien","Department of Natural Resources State Park","DNR","State Park",385791
"66","Zippel Bay","Department of Natural Resources State Park","DNR","State Park",192228
